STN_NAME,STN_NO,geometry,Latitude,Longitude
EUNOS MRT STATION,EW7,POINT (103.9032524667383 1.319778951553637),1.319778952,103.9032525
CHINESE GARDEN MRT STATION,EW25,POINT (103.7325967380734 1.342352820874744),1.342352821,103.7325967
KHATIB MRT STATION,NS14,POINT (103.8329799077383 1.417383370153547),1.41738337,103.8329799
KRANJI MRT STATION,NS7,POINT (103.7621654109002 1.425177698770448),1.425177699,103.7621654
REDHILL MRT STATION,EW18,POINT (103.816816670149 1.289562726402453),1.289562726,103.8168167
YEW TEE MRT STATION,NS5,POINT (103.7474051141379 1.397535017793412),1.397535018,103.7474051
PIONEER MRT STATION,EW28,POINT (103.6973215129361 1.337586882204749),1.337586882,103.6973215
COMMONWEALTH MRT STATION,EW20,POINT (103.798304515629 1.30243873532717),1.302438735,103.7983045
PAYA LEBAR MRT STATION,EW8/CC9,POINT (103.8930603552516 1.318112082295278),1.318112082,103.8930604
SIMEI MRT STATION,EW3,POINT (103.9533716941757 1.343202894930727),1.343202895,103.9533717
TAMPINES MRT STATION,EW2/DT32,POINT (103.945148688649 1.353301356342435),1.353301356,103.9451487
ADMIRALTY MRT STATION,NS10,POINT (103.8009880008123 1.440585001085411),1.440585001,103.800988
YISHUN MRT STATION,NS13,POINT (103.8350050461946 1.429443080810801),1.429443081,103.835005
PASIR RIS MRT STATION,EW1,POINT (103.9492681182454 1.37298377357949),1.372983774,103.9492681
CLEMENTI MRT STATION,EW23,POINT (103.7652988743264 1.314954492423595),1.314954492,103.7652989
ALJUNIED MRT STATION,EW9,POINT (103.8829060446604 1.316432611657838),1.316432612,103.882906
ANG MO KIO MRT STATION,NS16,POINT (103.8499329938898 1.369347303788564),1.369347304,103.849933
EXPO MRT STATION,CG1/DT35,POINT (103.9615482107079 1.334549777837812),1.334549778,103.9615482
CHOA CHU KANG MRT STATION,NS4,POINT (103.7443409461815 1.385361692828809),1.385361693,103.7443409
JURONG EAST MRT STATION,EW24/NS1,POINT (103.7422865440047 1.333152619894065),1.33315262,103.7422865
QUEENSTOWN MRT STATION,EW19,POINT (103.805884333892 1.294860932794988),1.294860933,103.8058843
TUAS LINK MRT STATION,EW33,POINT (103.6368786783488 1.340463765648207),1.340463766,103.6368787
GUL CIRCLE MRT STATION,EW30,POINT (103.660552955908 1.319505214938206),1.319505215,103.660553
WOODLANDS MRT STATION,NS9/TE2,POINT (103.7864851349074 1.436875128210755),1.436875128,103.7864851
TUAS CRESCENT MRT STATION,EW31,POINT (103.6490754783089 1.321026553242265),1.321026553,103.6490755
KALLANG MRT STATION,EW10,POINT (103.8713865413593 1.311488909642162),1.31148891,103.8713865
TUAS WEST ROAD MRT STATION,EW32,POINT (103.6396140560304 1.329989089049135),1.329989089,103.6396141
BUONA VISTA MRT STATION,EW21/CC22,POINT (103.7901915351737 1.307183466547333),1.307183467,103.7901915
DOVER MRT STATION,EW22,POINT (103.7786378416379 1.311405292925308),1.311405293,103.7786378
SEMBAWANG MRT STATION,NS11,POINT (103.8200461405483 1.449050821227294),1.449050821,103.8200461
KEMBANGAN MRT STATION,EW6,POINT (103.9129493883634 1.321038248851085),1.321038249,103.9129494
